Português,Tupi Antigo
Celebrando a missa para a gente,Missa ra'anga asébe
Veio também sua panela para que os cozinhe adiante de mim,Oú bé senha'ẽpepó t'omoîy xe renondé
"A morte, na verdade, é a ameaça dos que se casam verdadeiramente",Te'õ a'e mendasareté momboîsabamo
prensa de espremer cana-de-açúcar,u'ubae'ẽ kambykaba
Quando supõe cair em si a morte,Te'õ o îoesé i 'a-mo'angeme
"Mas não foste tu, porventura, que te atraíste pelas mulheres?",Na nde ruã-te-pakó kunhã ri ereîemomotá?
"Estava longe tua lembrança das coisas, estando a devanear?",Oîkó kûepe mba'e resé nde ma'enduara enhemongetábo ekupa?
É verdade isso?,Anhẽpe ûĩé?
"Embora me interessasse, junto àquelas não cheguei","Anhangerekó îepé, aîpó supé n'abasemi"
Escorei-o,Aîokok
Ando perdido,Xe ropá-ropar
Eu tenho os buracos das orelhas perdidos,Xe apysakûá-kanhem
Tu te importas com teu filho?,Nde putupápe nde ra'yra resé?
residente na capuava,kapŷápe tekoara
Estou dependurado,Aîasekó
Fi-lo muito mal,Aîmonhang serã-serã
Também por embriaguez ficando a ferirem-se uns aos outros,Sabeypora suí bé oîoapixá-pixapa
Elas são muito altas?,Iîybaté-katupe?
Ofendeste tua avó?,Ereîanga'ope nde aryîa?
Apavorei-o,Aîangerasó
Eu tenho arrepiamentos,Xe aning-aning
Devolvendo sua antiga firmeza,Îepytasokûera eroîeby
Contigo quero estar,Nde irũnamo aîkó-potá
Bem logo nos livremos,Taûîé-te t'îanhembo'i
Não ficou ninguém no campo de batalha,N'opytáî amõ abá maranápe
Tornando possíveis coisas que são difíceis,Mba'e i abaiba'e moabaibe'yma
Eu tenho a base fixa,Xe ypy-ten
"Detestaste teu próximo, ficando a pôr-lhe nomes também?","Ereîamotare'ymype nde rapixara, serok-y -bé-kybémo?"
Meu senhor Jesus sofre pela gente,Xe îara Îesu sosang poresé
Fi-lo por fazer,Aîmonhangĩ nhẽ
Já transborda o cauim,Tynysẽ umã kaûĩ
Eu sou temporão,Xe ranhẽ
não matando,îukae'yma
"Tem muito cauim, porventura, meu avô Jaguaruna?",I kaûĩgûasu-pipó xe ramũîa Îagûaruna?
Estiveste deitada sobre teus amantes?,Ereîubype nde agûasá 'arybo?
diminuto como isto,nãîbe'ĩnhot'a'ub
Não tendo nojo de mim,Xe suí oîegûarue'yma
Ele dorme Não o acordes!,Okerĩ Nd'eremombaki!
Desfaleço de fome,Amanõaíb ambyasy suí
Estou menstruada,Aîkoaíb
a vaca que crio,xe reîmbaba tapi'ira
Eu sou ligeiro de mãos,Xe poapyî
"Parti dele, para que não vos corte em pedaços!","Pepo'i i xuí, aîpó n'opoasyk-asykabi"
"Em caso de divulgação de sua morte, o próprio padre responsável por ele que o julgue","Se'õagûera rerapûaneme, abaré serekoara aé t'osekokuab"
Em terra não os mandando transformar,Ybyramo i moingoukare'yma
Eu quero presas nas pessoas de alguns bêbados,Xe rembiá-potá sabeypora amõ resé
"Contaste para as pessoas o mau procedimento de alguém, que somente tu viste?",Ereîmombe'upe abá rekopoxŷagûera oîepebẽ nde remiepîakûera abá supé?
Não,-Nd'oîporaráî xûémop'asé mba'e amõ 'ara pupé oîkóbomo? - Aani xûémo - Não sofreria a gente coisa alguma vivendo no mundo?
Hei de reavivar a velha guerra,T'aîopũne marandûera
Que venha Deus para nos alegrar,T'oú Tupã oré moorypa
o que minh'alma busca,xe 'anga remiekara
prensa de cana-de-açúcar,u'ubae'ẽ pokasaba
Tosei-o bem,Aîmoapererá-katu nhote
convidando os homens todos,apŷaba sogûabo pá
O resto de minhas presas trouxe para a rainha,Xe rembiara rembyrûera arurĩ reîá supé
quebrador de pedras,itá kasara
Estou bem estabelecido,Aĩngatu
Dou-o em recompensa,Aîme'eng sepyramo
Eu fiz confusão,Xe apaxixã
"Fi-lo aos trancos, fi-lo confusamente",Aîapixosok
"outro dia, já não agora",irã é irã
Para o alto do chamado Monte das Oliveiras levou sua mãe e seus discípulos,Ybytyra Olivete seryba'e apyterybo o sy o boîá rerasóû
Onde está meu caminho?,Umãpe xe raperama?
Fachos de luz para iluminar o caminho pela escuridão,Ysysaý putumimbyka rupi pé resapébo
Como será que um habitante do inferno viveria neste mundo se Deus o fizesse viver fora dali um mês?,Marãete'ĩ ra'umope amõ Anhanga ratá pora rekóû ikó 'ara pupé oîepé îasy Tupã ebanoĩ suí o moingobérememo?
Ordenhei-a,Aîkambyamĩ
"Todos eles voltaram para trás, caindo no chão de costas","Opá i îeakypûereroîebyri, o atukupé pyterybo o'á ybype"
Traze peixe para que o coma,Eru pirá t'a'une
Que ajudemos um ao outro para criarmos nossos filhos,T'oroîopytybõne oré poromonhangagûera mongakuapa
Jazia ao lado de mim,Xe ybyri tuî
Dá anzóis para mim,Eîme'eng pindá ixébe
A que coisa chamamos graça?,Mba'e supépe asé graça i 'éû?
"Caiu a chuva sem parar, enchendo o mar, levantando-o bem acima do cume das montanhas","Okyr ko'ẽ-ko'ẽ amana, paranã mopungábo, ybytyra apyra sosé-katu i mopu'ama"
comendo-o ansiosamente sempre,korikoria'u i gûabo îepi
"Ora, experimenta-o",Esa'ang ra'u
Estiveste deitado outrora sobre tua amante como um rufião?,Ereîubype erimba'e nde agûasá 'arybo nde arãíbamo?
"Ah, quem me dera bater nele!",Apûar temõ sesé mã!
Não irás futuramente à guerra?,Nd'eresóî xópe irã gûarinĩ?
Eu tenho palavras pesadas,Xe nhe'ẽposyî
Hei de ir adiante de vós,T'akûáne pe renondé
Haveria de morrer certamente a criança de mim após eu querer comer caça,Omanõ îepémo pitanga xe suí ixé so'o 'useî tenhẽ roîrémo re'ĩ
Concluo que talvez isso seja assim,Emonã ûĩ re'a a'é
Com seu sangue me lavou,Og ugûy pupé xe reî
O padre que é colocado como guardião da gente,Abaré asé rerekoaramo i moingopyra
Senhora da vida,Tekobé îara
Amarram suas mãos fortemente,Îapopûar-atã
Vai por aí,Ebokûé rupi ekûab
Ando à caça,Ka'abo aîkó
o que fica aumentando seus pecados,o angaîpaba irumõ-rumõsara
Ao transcorrerem quatro gerações,Oîoirundyk îeapyká sykápe
Eu sou rugoso,Xe akaraxixã
O que se casa bem contra sua vontade,O emimotare'yma-katu omendaryba'e
Amando muito sua santificação,O karaibagûama raûsukatûabo
Assento a vila de comprido,Opukubo taba amoín
"Compadeceste-te deles, procurando-lhes alimento?",Eresaûsubarype i poraká?
Benzi-me a testa,Aîesybasab
A que nos faz viver na virtude,Tekokatu resé îandé moingoara
seu ferrete,i kuapamoindaba
Eu sou redondo,Xe apỹî
Paga o objeto de seu furto,Oîmoepy o mondasagûera
"Deu-me pancada de ponta, somente",Xe sok îõte
Devolveu seu pagamento aos príncipes,Oîme'engîeby sepypûera morubixabetá supé
morrendo eu,gûimanõmo
Vós lembrais,Pe ma'enduar
Eram muitos mesmo todos os que diziam isso,Setá tenhẽ erimba'e opab aîpó 'îarûera
"Criancinha muito bela, creio muito em ti","Pitangĩ-porangeté, orogûerobîá-katu"
O que pratica ainda os velhos hábitos dos avós,Tamyîa rekopûera oîporubyteryba'e
"Vai para prová-los, para que pratiquem maus atos",Eîori sa'anga t'oîpuru tekó-poxy
"Portanto, prantear as pessoas isso as enternece",Irõ moroapirõ a'e oporomomby'ar
"""Ele deve ter ido"", disse eu em suposição","""Osó ipó re'a"" a'é angá"
"o que está preso em ferros, o que está peado",i pukusamba'e
Tornando afável vosso senhor para vós mesmos,Pe îoesé pe îara moaky
"conhecedor de animais, bom de caça",so'o-kugûaba
"A ponte derrubam, querendo que a canoa passe","Îarybobõ omonguî, ygara kuabĩ potá"
Atraio a Pedro,Aîmomotar Pedro
corpo morto de peixe,pirá re'õmbûera
e portanto,emonãnamo é
"Quando eu morrer, que venhas","Xe îekyîme, t'ereîu"
Semelhante a uma roupa de querejuá que brilha mais que o sol,Aó-kereîûá kûarasy sosé oberaba'e nungara
Ensaquei a farinha,Au'ipuku-nhang
Para mãe de Deus é que é feita,Tupã syrama ri i monhangymbyra
O sol certamente brilha após passar a grande noite,Kûarasy nipó oberá putunusu kûab'iré
Eu falo demais,Xe nhe'ẽ-mby'i
Dou topadas no esteio,Aîapi okytá
tendo o dom da vossa vida,pe rekobé me'engaba rerekóbo
"É formosa, certamente, a lua","Î aysó, nipó, îasy"
Que perdoe Deus a nós,T'i nhyrõ Tupã orébo
"Não era Pedro, mas, sim, seu irmão","Na Pero ruã, tybyra a'e"
lêndeas de piolho,mokyrana'yra
Fiz-me mulher,Anhemokunhã
"Ah, vencer-me-ão hoje!",Xe reîtyk korine mã!
Apressam-me estes meus súditos,Xe moanhẽ kó xe boîá
"Eram muitos os que estavam a castigá-lo? -Eram muitos, ficando a revezar-se uns com os outros nisso","-Setápe i nupã-nupãsara? -Setá, sesé oîoporu-porûabo"
Cortei o pé dela,Aî'ybab
"armação de fios, roca de fiar",inimbó-'yba
couraça com lâminas,itaoba i apenhugûã-nhugûanyba'e
Feri-o,Aîosok
Eu estou úmido,Xe ryby'y
"Por causa de sua esposa, o marido dela não temeu comê-lo","Ogûemirekó resé, i mena nd'o'u-poûsubi"
Cada vez que se lembra dela,Sesé o ma'enduara îabi'õ
Oxalá ela estivesse nua!,Ikatupe nhẽ temõ mûã!
"É aparência, somente, este mundo falso",A'uba nhote ikó 'ara'uba
"Queremos amar-te muito, entregando-nos a ti","Oroaûsu-potá-katu, oroîeme'enga endébo"
Estamo-nos espalhando,Oronhemosasãî oroîkóbo
"passagem de água, rego para água",y kûapaba
Contando as maldades escondidas de alguém,Abá angaîpá-nhemima mombegûabo
Tua alma está muito branca,I morotĩngatu nde 'anga
Aquele que entrava na igreja,Akó oîké rakó Tupãokype
Junto a si fazendo-vos sentar,O pyri pe mogûapyka
Faço intervalos em minhas entradas na igreja,Aîmopa'ũ-pa'ũ nhote Tupãokype xe reîké
"Ó, hei de ir!","T'asóne, gûy!"
"Procedo bem, tendo a intenção de ir para o céu",Aîkó-katu t'asóne ybakype ûi'îabo
Segundo o julgamento de nós por Deus,Tupã îandé rekomondykaba rupi
Pode a gente vê-lo aqui também?,E'ikatupe asé iké bé sepîaka?
"Eis meus chifrões, meus dentes","Kó xe 'akusu, xe rãnha"
Mas me esconde tu dele!,Xe mĩ-te îepé i xuí!
Deseja o menino mamar,I kamu-seî kunumĩ
"Reritiba, minha terra, aldeia muito boa","Rerityba, xe retama, tabangaturãngatu"
Que mais?,Mba'epe amõ?
Faço-o ruim,Aîmoangaîpab
"Amarram-lhe as mãos fortemente, fazendo-lhe mal","Îapopûaratã, i moangaîpapa"
alguém,amõ ahẽ
Eu tenho flores,Xe potyr
A ponte derrubam,Îarybobõ omonguî
Não quero ir para longe,N'asó-potari mamõ
Que é mais penoso aos que estão ali?,Mba'epe sasyeté a'epe tekoara supé?
"Após morrer seu filho, ama todos os homens",O membyra re'õ ré opabĩ abá raûsubi
Eu sou arisco,Xe resaeté
"bola, novelo de lã",inimbó-apu'a
a abertura da saia dela,Iî ikeboka
imitando a queda das frutas maduras,ybá-'apuba kuîa ra'anga
Não há absolutamente servos meus,N'i tyb-angáî xe boîá
"São Pedro puxou a espada, ferindo um amigo do chefe, chamado Malco",S Pedro itangapema osekyî morubixaba rembiaûsuba Malko seryba'e apixapa
Eis que também minhas muitas presas hei de dar algumas a ti,Kó bé xe rembiaretá t'ame'ẽne amõ endébo
querendo também que nós afrouxemos nossa carne,îandé ro'o îandé i momby'a-potáno
remédio portador de cura,mosanga mûeîrabyîara
"Mulher bondosa, uma virgem",Kunhã-angaturama ababykagûere'yma
Eu estou resfolgando,Xe putuẽ-tuẽ
ao entardecer,karukĩneme
Eu sou barulhento,Xe ryapu
Igualmente a morte está entre os moços e entre os velhos,Oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé
"Fico à espera dele, fico no caminho dele",Aîpiarõ
Estragaste as coisas de teu próximo?,Ererekomemûãpe nde rapixara mba'e?
A todos os homens ama para o bem deles,…Opabĩ abá raûsubi i katurama resé
Não temos a ver com isso,Nd'oroîkóî aîpó resé
arroto fétido,eú-rema
porto das canoas,ygara îepotasatyba
"Que é, porventura, daquele?",Umã-pakó? Umã-takó? ou Umã-pakó akûea?
Fiquei-o apodando,Aseró-serok
Queimar-vos-ão as chamas de fogo!,Pe rapy tatá-endyne!
Batendo numa mulher grávida,Kunhã muru'abora resé opûá
homem covarde,abá-ekoetee'yma
Quem é? Quem está aí?,Abá-pipó?
Vários homens brancos são pecadores,Karaíba amõ amõ i angaîpá
Que tipo de caça queres comer?,Marãba'e so'o ereî'useî?
"Espremeste-te após alguém fazer sexo contigo, não querendo filhos?",Ereîeamĩpe nde resé abá rekó riré nde memby-potare'ymamo?
Desculpei-me,Aîepysyrõsyrõ
Faz a cruz em nossa testa com ele,Asé sybasab i pupé
"Adivinha, vamos ver, aquele que bateu em ti!",Eîkuá ra'u nde ri opûaryba'e!
"Não em vão Deus disse isso, não dizendo ""- pode ser""","Nd'e'i te'e Tupã aîpó o'îabo ""re'ĩ"" o'eyma"
A lua foi comida,Îasy mba'e i 'upyra
"Assim como tu não queres que alguém furte de ti tuas coisas, guarda-te de furtar as coisas de alguém","Nde îosuí nde mba'e resé abá mondarõ nde i potare'yma îabé, teumẽ abá mba'e resé é mondarõmo"
"Flechei todos eles, capturando-os, amarrando-os","Aîybõ mbá, i pysyka, i apytĩamo"
"Fica pondo armadilhas, querendo fazer a gente entrar","Oîekotyrũ-tyrung, oporomoingé-potá"
Eu estou esfalfado,Xe ra'ypab
"Vem, dize o nome, ó sim, dos que tu venceste por aí","Îori, esenõî angá kûeîbo nde remimoaûîé"
Faço-o muito apressadamente,Aîapó-anhẽ-anhẽ
Eu sou nadador,Xe 'ytab
"Eis que percebendo isso, deixei ontem minha casa","Kó anga andupa, aseîá kûesé xe roka"
O que tocou na irmã mais moça ou na irmã mais velha de sua noiva não pode casar-se nem mesmo com sua noiva,O me'engabeté pyky'yra koîpó tykera resé obykyba'e n'e'ikatuî omendá o me'engabeté resé tiruã
"Podem também as pessoas casar-se diante de um outro padre, de acordo com a vontade do padre responsável por elas",Ikatu bé abá omendá amoaé abaré robaké abaré ogûerekoara remimotara rupi
"Que fizeram, querendo aproximá-los?",Marãpe ybŷá serekóû i mondyka potá?
Eu mesmo fiz assim,Ixé aé emonã aîkó
o que enforcou gente,moroîubykarûera
"""o chupa-fogo""",tatá-pytera
Vela por nós,Ema'ẽngatu oré ri
Não por ir eu,Na xe sopeî
É muito medonho o diabo?,I abaeté-katupe Anhanga?
Há de estar ?,E'i nhẽpe oîkóbone?
"Pela estrela que os guia, como a que mostra o caminho",Îasytatá serekoarama resé pé kuabe'ẽsaramo
Por quantas coisas a gente pede?,Mboby mba'e resépe asé îeruréû?
Como recompensa de seu afastamento da vida má,Tekó-angaîpaba suí o îepe'aagûera repyramo
Os pagãos esfolaram São Bartolomeu,Serokypyre'yma São Bartolomeu piroki
"tempo, lugar, modo, finalidade, etc de comer, de pastar",karûaba
Eu estou adoentado,Xe mba'easyaíb
"Eu tenho presas, eu faço presas, eu apreso",Xe rembiar
Repleta-me minha ira,Xe moîoîá xe îemoŷrõ
O próprio céu é o que Deus prepara para nós,Ybaka aé Tupã îandé resé i nhemosako'îaba
"Amam-se muito, por dever, os que se casaram?",Oîoaûsu-katupe amẽ oîopopysykyba'epûera?
Atravessei rios,A'y-asab
logo então,a'ereme bé
Meu destino é a terra de Deus,Xe soaba Tupã retama
Eu tenho diarréia,Xe rygeaíb
Endireitei-o,Aîapengok
injuriando-o,i agûabo
Eis aqui minha grande muçurana,Kó xe musuranusu
Não ia para o céu outrora a alma de ninguém?,Abá 'angûera amõ soe'ymi ybakype erimba'e?
Fá-lo sofrer o frio,Îaîmomboreaûsu ro'y
"Estão felizes os anjos, festejando este dia","Sory karaibebé, ikó 'ara momoranga"
Eu também danço com meus parentes,Xe abé xe anametá aroporaseî
Não foi a meu pai que o dei,Na xe ruba supé ruã aîme'eng
Deixei de amá-lo,Asaûsupo'ir
"Como modo de honrar sua vinda, comemoramos este dia",Turagûera moetesabamo kó 'ara îamoeté
O dia em que esses fatos se consumaram os cristãos não estavam felizes,Ara kó tekó aûîesaba cristãos rorybe'ymamo
Estou pela metade,Xe ragûé rupi aín
Cortei a fila deles,Asysy-mondok
Eu tinha o pescoço caído,Xe aîurar
Não hei de deitar a perder a meu pai,Amote'e umẽpe xe ruba ká
porca fêmea,taîasu-kunhã
Cortei-lhe a cabeça,Aîakã-mondok
a alma depois que sai do corpo,angûera
Como resgate de todos os que irão para o céu,Opakatu ybakype osoba'erama repyramo
Fartei-me de comê-lo,Aî'useîmogûab
Todas as línguas dos homens por aí afora fê-los conhecer?,Opakatupe kûeîpe abá nhe'enga kuabukari i xupé?
"Apressam-me estes meus súditos, tendo saudades de mim hoje","Xe moanhẽ kó xe boîá, îeí xe repîaka'upa"
"Por isso mesmo o homem que quer a virtude se esvazia de corpo, fazendo-o jejuar","Nd'e'i te'e abá tekokatu potasara og o'opore'yma, i moîekuakupa"
Eu sou um pouco bochechudo,Xe retobapé-pyryb
Aquele mesmo,Apó é
Tonsurei-o,Aîmoapytereb
"Sem trabalho, comemoramos este dia",Morabykye'yma kó 'ara îaîmoeté
Eu tenho puxos,Xe rygeasypu'ãpu'am
Ali atacando as moças,A'epe kunhãmuku repenhana
Eu estou quebrantado,Xe rasyrõ
Encalhemos,T'îaîar
Hospedar os peregrinos,Atara mombytá
Mas são eles os que mandam fazer cauim,A'e-te kaûĩ pûaîtara
a satisfação dos cônjuges,mendara moîekosupaba
Força de minha alma,Xe 'anga taŷaíba
"Tem o homem, geralmente, muitas palavras em vão quando se aproxima de sua morte",I nhe'engetá tenhẽ nakamẽ abá ogûe'õ kakareme
"Este era, de fato, o meu intento",Aîpó nakó xe rekopotasaba
a que deseja a virtude,Tekokatu potasara
Teu costumeiro desejo sensual não se separava verdadeiramente de ti,Nde poropotarixûera nd'o'ir-etéî nde suí
"É bonita esta igreja, contendo muitos enfeites!","I porang kó tupãoka, îegûakabetá rerupa!"
Descalcei-me,Aîepyaobok
O que faz também um homem furtar alguma coisa,Oîmomondarõba'e abé abá mba'e resé
"Depois disso, os malvados estão alta noite atacando pelas costas os maridos das mulheres","A'e ré, moxy rekóû pysaîé kunhã mena kupea'pa"
Moderei-os,Anhonen
este outro,ikoba'e-te
Depois que tu sonhaste com uma mulher deleitaste-te no teu sonho com ela?,Kunhã resé nde posaûsub'iré ereîmborype sesé nde posaûsubagûera?
"Atravessando o céu foi, deixando-te","Ybaka rasapa osó, nde reîá"
roçado antes de se queimar,kopisaba 'ybapaara
"Esconde-te, fica quieto","Enhemim, nde kyrirĩ"
"Não encontrei nem um pouquinho, absolutamente, algum ato deste homem no mal",N'abasẽ-mirĩ-angáî marãbirĩ ikó abá rekopûera amõ supé
Eu hei de ser bom,Xe katupe ká
Mordo-lhe a cabeça,Aî'a-su'u
Não me chames tu pelo nome diante dele senão me mata,Xe renõî umẽ îepé i xupé na xe îukáî
Todos eles voltaram para trás,Opá i îeakypûereroîebyri
"E os cadáveres da gente, que sucede a eles?","A'epe asé re'õmbûera, marã?"
"Ah, nossos avós muito quiseram verdadeiros substitutos seus para nós",Té! Oîpotareté îandé ramuîa o ekobîareté îandébe
Cheguei,Aîepotar
"Eva, nossa mãe primeira, atraiu-se muito pelo belo fruto","Eva, îandé sy-ypy, onhemomotar-eté 'ybá-poranga resé"
